;Waktu;Jalan;Lat;Long;JarakLampu;Tahun
Kamis, 22 Maret 2018 Jam. 19.30 Wib;malam;KolektorPrimer;-7.712441667;112.0228694;827.5721872;2018
Kamis, 22 Maret 2018 Jam. 18.00 Wib;malam;Lokal;-7.595036111;112.1064444;265.0943025;2018
Jumat, 23 Maret 2018 Jam. 08.30 Wib ;siang;KolektorPrimer;-7.650377778;112.0132139;1244.034397;2018
Jumat, 23 Maret 2018 Jam. 13.15 Wib;siang;KolektorPrimer;-7.648647222;111.8973528;236.4096418;2018
Jumat, 23 Maret 2018 Jam. 17.00 Wib;siang;KolektorPrimer;-7.675336111;111.91515;197.8438599;2018
Sabtu, 24 Maret 2018 Jam. 08.30 Wib;siang;Lokal;-7.618922222;112.0970944;2115.661955;2018
Sabtu, 24 Maret 2018 Jam. 14.00 Wib;siang;KolektorPrimer;-7.749327778;112.0157694;1386.68157;2018
Sabtu, 24 Maret 2018 Jam. 17.30 Wib;siang;KolektorPrimer;-7.646863889;112.013975;854.6159064;2018
Senin, 26 Maret 2018 Jam. 19.30 Wib;malam;ArteriPrimer;-7.603961111;111.966525;2513.486091;2018
Selasa, 27 Maret 2018 Jam. 04.30 Wib;malam;KolektorSekunder;-7.649416667;111.8666722;703.6269837;2018
Selasa, 27 Maret 2018 Jam. 08.05 Wib;siang;ArteriPrimer;-7.602008333;111.9408944;333.1689377;2018
Rabu, 28 Maret 2018 Jam. 16.00 Wib;siang;Lokal;-7.66745;111.8996278;2180.556838;2018
Jumat, 30 Maret 2018 Jam. 11.00 Wib;siang;ArteriPrimer;-7.601547222;111.935075;409.8048458;2018
Sabtu, 31 Maret 2018 Jam. 07.00 Wib;siang;ArteriPrimer;-7.60515;112.0022583;367.5471296;2018
Sabtu, 31 Maret 2018 Jam. 07.30 Wib;siang;ArteriPrimer;-7.5769;111.8675472;378.7699725;2018
Sabtu, 31 Maret 2018 Jam. 19.45 Wib;malam;KolektorSekunder;-7.613527778;112.0472028;829.5036327;2018
Minggu, 01 April 2018 Jam. 11.00 Wib;siang;KolektorSekunder;-7.613527778;112.0472028;829.5036327;2018
Senin, 02 April 2018 Jam. 15.40 Wib;siang;Lokal;-7.539144444;112.0744306;508.3190225;2018
Selasa, 03 April 2018 Jam. 07.30 Wib;siang;KolektorSekunder;-7.536038889;112.0068;2.723802021;2018
Rabu, 04 April 2018 Jam. 06.45 Wib;siang;KolektorSekunder;-7.536125;112.0110139;471.3131692;2018
Rabu, 04 April 2018 Jam. 08.30 Wib;siang;KolektorSekunder;-7.676108333;111.8315083;1409.370577;2018
Kamis, 05 April 2018 Jam. 07.30 Wib;siang;ArteriPrimer;-7.600166667;111.9155139;136.3045709;2018
